Enfield Lock,51.67084613,-0.02837661157,6,EN3 6BW
Enfield Town,51.65197008,-0.07931546957,5,EN1 1YB
Epping,51.69368615,0.1138400185,6,CM16 4HW
Epsom Downs,51.32365947,-0.2389558778,6,KT17 4JX
Erith,51.48164765,0.1742756878,6,DA8 1TY
Essex Road,51.54063332,-0.09635110866,2,N1 2SU
Euston,51.52866435,-0.1332820584,1,NW1 2DU
Euston Square,51.52866435,-0.1332820584,1,NW1 2BN
Ewell East,51.34524391,-0.2414886456,6,KT17 1QR
Ewell West,51.34999117,-0.2570747758,6,KT17 1TU
Fairlop,51.59610953,0.09060771421,4,IG6 3HD
Falconwood,51.45908579,0.07852408455,4,SE9 2RN
Farringdon,51.5201957,-0.1048286512,1,EC1M 6BY
Feltham,51.44787922,-0.4098100933,6,TW13 4BY
Fenchurch Street,51.51156672,-0.07853974474,1,EC3M 4AJ
Fieldway,51.35131701,-0.02448890759,5,CR0 0QA
Finchley Central,51.60090327,-0.1932062006,4,N3 2RY
Finchley Road,51.54709622,-0.1800361413,2,NW6 3BS
Finchley Road and Frognal,51.55011952,-0.1836367825,2,NW3 5HT
Finsbury Park,51.56463546,-0.1058670614,2,N4 3JU
Forest Gate,51.54931612,0.0242035115,3,E7 0QH
Forest Hill,51.43930832,-0.05331411908,3,SE23 3HD
Fulham Broadway,51.48026093,-0.1955297656,2,SW6 1BY
Fulwell,51.43394261,-0.3494241414,6,TW2 5NY
Gallions Reach,51.50903413,0.07178980169,3,E6 6FZ
Gants Hill,51.57655294,0.0660985264,4,IG2 6UD
George Street,51.37396607,-0.09870374038,5,CRO 1LA
Gidea Park,51.58186572,0.2059914108,6,RM2 6BX
Gipsy Hill,51.42446953,-0.08382078685,3,SE19 1PL
Gloucester Road,51.49449958,-0.1835291569,1,SW7 4SF
Golders Green,51.57221556,-0.194820132,3,NW11 7RN
Goldhawk Road,51.50207699,-0.2273896013,2,W12 8EG
Goodge Street,51.52061313,-0.1347932793,1,W1T 2HF
Goodmayes,51.56618097,0.1117440796,4,IG3 9UH
Gordon Hill,51.66350225,-0.09445884361,5,EN2 0QU
Gospel Oak,51.55540531,-0.1512866107,2,NW5 1LT
Grange Hill,51.61348041,0.09228696995,4,IG7 5QB
Grange Park,51.64262309,-0.09729997426,5,N21 1RE
Gravel Hill,51.35454326,-0.04310733997,6,CR0 5BJ
Great Portland Street,51.52378881,-0.1439470134,1,W1W 5PP
Green Park,51.5067605,-0.1424631691,1,W1J 7BX
Greenford,51.54198011,-0.3458643227,4,UB6 8PR
Greenwich,51.47754767,-0.01484868625,2,SE10 8JQ
Grove Park,51.43043264,0.02261288471,4,SE12 0PW
Gunnersbury,51.49186344,-0.2751497341,3,W4 5RP
Hackbridge,51.37786092,-0.1538648322,4,SM6 7BJ
Hackney Central,51.54725745,-0.05557509264,2,E8 1LL
Hackney Downs,51.54907809,-0.06017068515,2,E8 1LA
Hackney Wick,51.54355841,-0.02524508463,2,E9 5ER
Hadley Wood,51.66840289,-0.176566732,6,EN4 0EJ
Haggerston,51.53868474,-0.07558084146,2,E8 4DY
Hainault,51.60284531,0.09412298722,4,IG6 3BD
Hammersmith (District),51.4918198,-0.222846527,2,W6 9YA
Hammersmith (Met.),51.49348338,-0.2246257552,2,W6 0ED
Hampstead,51.55654262,-0.1780001377,2,NW3 1QG
Hampstead Heath,51.55519994,-0.1645517614,3,NW3 2QD
Hampton,51.4158796,-0.372120876,6,TW12 2HU
Hampton Court,51.40229392,-0.3427427787,6,KT8 9AE
Hampton Wick,51.41464008,-0.3130892323,6,KT1 4DQ
Hanger Lane,51.53007207,-0.2929817318,3,W5 1DL
Hanwell,51.512186,-0.3380374764,4,W7 3EB
Harlesden,51.53625836,-0.2574812585,3,NW10 8UT
Harold Wood,51.59320219,0.2342185072,6,RM3 0BL
Harringay,51.57735792,-0.1051938237,3,N4 1RW
Harringay Green Lanes,51.5771459,-0.098202963,3,N4 2NU
Harrington Road,51.39979058,-0.06068558162,4,SE25 4NF
Harrow and Wealdstone,51.59259467,-0.3342382516,5,HA3 7RF
Harrow-on-the-Hill,51.57938816,-0.3369870881,5,HA1 1BB
Hatch End,51.60982855,-0.3691643421,6,HA5 5LZ
Hatton Cross,51.46668536,-0.4233661699,5,TW6 3PF
Haydons Road,51.42545734,-0.1889149784,3,SW19 8SL
Hayes,51.37573671,0.01015701788,5,BR2 7EN
Hayes and Harlington,51.50304913,-0.4206274986,5,UB3 4BX
Headstone Lane,51.60249967,-0.3568930778,5,HA2 6NB
Heathrow Terminal 4,51.45978048,-0.4477151986,6,TW6 3AA
Heathrow Terminal 5,51.47002549,-0.4906331087,6,TW6 2GA
Heathrow Terminals 1 2 3,51.47128946,-0.4523928306,6,TW6 1EB
Hendon,51.58007501,-0.238616091,3,NW4 4PT
Hendon Central,51.58313307,-0.2267197095,3,NW4 3AS
Herne Hill,51.45399138,-0.1025485184,2,SE24 0JW
Heron Quays,51.50338657,-0.02193912656,2,E14 4JH
High Barnet,51.65168828,-0.1941509278,5,EN5 5RP
High Street Kensington,51.50072947,-0.191551653,1,W8 5SA
Highams Park,51.60835599,-0.0001208472357,4,E4 9LA
Highbury and Islington,51.54649552,-0.1040677208,2,N1 1SE
Highgate,51.57764663,-0.1469204333,3,N6 5BH
Hillingdon,51.55377757,-0.4498835725,6,UB10 9NR
Hither Green,51.45240172,-0.0009565228707,3,SE13 5NF
Holborn,51.51723575,-0.1198260976,1,WC2B 6AA
Holland Park,51.50714651,-0.2065433713,2,W11 3RB
Holloway Road,51.55281612,-0.1129212759,2,N7 8HS
Homerton,51.54659545,-0.03849792797,2,E9 5SD
Honor Oak Park,51.45064825,-0.04413873224,3,SE23 3LE
Hornchurch,51.55435508,0.2189414181,6,RM12 6LS
Hornsey,51.58647486,-0.1118012064,3,N8 8SE
Hounslow,51.46250486,-0.3617818637,5,TW3 3DL
Hounslow Central,51.47092581,-0.3659437342,4,TW3 1JG
Hounslow East,51.47370794,-0.355260926,4,TW3 4AB
Hounslow West,51.47310576,-0.385693233,5,TW3 3DH
Hoxton,51.53139162,-0.07557123288,2,E2 8HR
Hyde Park Corner,51.50258403,-0.1524597088,1,SW1X 7LY
Ickenham,51.56082511,-0.4415650894,6,UB10 8PD
Ilford,51.55914223,0.06869961399,4,IG1 4DU
Imperial Wharf,51.47493895,-0.1828231083,2,SW6 2HA
Island Gardens,51.48795009,-0.0104789025,2,E14 3FA
Isleworth,51.47503746,-0.3373143688,4,TW7 4BX
Kenley,51.32460032,-0.1012053633,6,CR8 5JA
Kennington,51.48866247,-0.1050562126,2,SE11 4JQ
Kensal Green,51.53052424,-0.2246989701,2,NW10 5JT
Kensal Rise,51.53421509,-0.2208065635,2,NW10 3NT
Kensington (Olympia),51.49787972,-0.2103648387,2,W14 0NE
Kent House,51.41271766,-0.04580117619,4,BR3 1HY
Kentish Town,51.55000954,-0.1404568437,2,NW5 2AA
